PROGRAM_ID,NEWS_NAME,NEWS_TYPE,NEWS_HOUR,CAMERAMAN_ID,DIRECTOR_ID,PRODUCER_ID,TITLE_SPONSOR
451,"Frami, Stoltenberg and Kautzer",Murkitt,9,2580,2054,305,Rhybox
448,Nolan-Dooley,Balmforth,7,2491,3046,467,Leexo
180,"Cassin, Beatty and Gibson",MacNeilage,19,4450,1704,672,Yoveo
190,Gerlach Inc,Monnoyer,22,2224,1130,221,Yozio
783,"Fritsch, Rippin and Price",Bonick,4,2627,4477,223,InnoZ
634,"Kihn, Gleason and Reichel",Fettiplace,16,284,2322,511,Skivee
398,Brown-Hauck,Brass,7,1217,312,941,Tekfly
620,"Tremblay, Dibbert and Cruickshank",Scane,10,4326,2452,337,Buzzshare
707,"Muller, Herzog and Mohr",Blackesland,6,2305,3947,737,Jabbertype
180,Collins-Bruen,Barthrup,11,1504,686,592,Kamba
648,Altenwerth-Heaney,Giacomasso,16,4456,3159,976,Minyx
652,Greenfelder and Sons,Bradnick,19,3693,971,318,Vinder
591,Emmerich Inc,Waison,8,4864,2392,924,Eazzy
381,Hudson LLC,Varvara,9,3293,3369,255,Pixope
455,"White, Macejkovic and Bayer",Duesberry,6,2996,4419,868,Zoozzy
159,"Cartwright, Waters and Monahan",Selly,23,3404,2956,562,Plambee
957,Haley-Wisozk,Aukland,20,925,3292,852,Kazu
543,Jacobi-Harber,Grodden,21,3033,3365,242,Gabcube
765,"Schmitt, Davis and Wolff",Haslin,3,3536,2752,106,Quinu
206,"Hauck, Hegmann and Raynor",Pedel,5,4548,2386,231,Kamba
149,"Erdman, O'Kon and Keeling",Kebell,0,3195,756,430,Babblestorm
789,Lockman-Effertz,Etienne,16,4045,2844,773,Oyoloo
839,Herman and Sons,Crusham,17,1191,1754,447,Quatz
221,"Ritchie, Feest and Eichmann",Eskrigg,6,4629,1162,581,Meeveo
359,Kovacek-Rath,Baggaley,12,3171,118,927,Twinder
304,"Christiansen, Torp and Wintheiser",Chastaing,21,1821,210,131,Devshare
113,Cronin-Hackett,Shoreson,10,1214,298,783,Gabvine
641,"Homenick, Murazik and Feil",Osmund,19,287,4901,384,Jabberbean
873,Denesik-Kulas,Lidierth,17,773,4670,859,Zooveo
569,"Botsford, Bergstrom and Wuckert",McGuggy,14,4827,1781,161,Gigazoom
287,Johns LLC,Lodewick,10,4563,3857,422,Wikibox
932,"Kerluke, Muller and Hickle",De Bruyne,0,1924,2634,205,Trunyx
788,"Simonis, Skiles and Kutch",Barnewelle,17,3307,3115,234,Avamba
390,Hickle LLC,Barnwille,21,4236,3814,650,Livepath
789,Homenick Group,Marieton,4,798,3954,523,Demimbu
377,Langosh-Reinger,Borgars,23,1111,117,283,Twinder
393,Christiansen-Welch,Dransfield,17,1747,4258,121,Browsetype
221,"Dare, Kertzmann and Mohr",Deverale,8,1637,4953,976,Devshare
449,Heller-Deckow,Wedmore.,24,2466,2945,241,Rhynoodle
784,Runolfsson-Schumm,Shawel,10,2664,1004,363,Gigabox
623,Rogahn LLC,Haggett,17,2563,1514,330,Zoombeat
645,Runolfsson-Pfeffer,Durram,11,1722,4881,477,Oyonder
539,"Hackett, Predovic and Torphy",Agnolo,12,1987,4420,534,Blognation
773,McDermott LLC,Eaden,13,2233,2128,270,Mynte
571,Schroeder-Rolfson,Hebard,20,4624,3993,487,Brightbean
912,Predovic-Halvorson,Barca,3,2701,1106,534,Feedmix
730,Hessel-Lowe,Lorking,24,730,3034,833,Babblestorm
429,Runolfsdottir LLC,Eidelman,23,1044,1436,105,Riffwire
427,Carter-Nolan,Wasielewski,3,442,1579,118,Quamba
342,Leuschke-Runte,Redley,17,3472,1002,980,Blogtags
847,Anderson Group,Stubbins,13,2451,3174,700,Thoughtstorm
900,Bednar-MacGyver,Harding,24,4596,4062,500,Gigashots
620,Kohler-Mills,Rolance,23,158,3849,626,Wordtune
779,Ratke LLC,Arnefield,22,4292,3749,911,Eabox
599,"Kris, Trantow and Wolf",Hallowes,24,3185,3936,184,Kamba
812,Kuhn Group,Bamford,15,2417,2204,485,Skiptube
796,"Lowe, Volkman and Terry",Kearn,21,2873,597,214,Wordtune
244,Nienow LLC,Calliss,5,2917,3122,416,Vipe
665,Rau Group,Tallis,2,4881,1512,131,Katz
309,Huel Group,Quiney,16,3210,1822,991,Layo
616,"Anderson, Kassulke and Kirlin",Croke,14,1128,620,759,Kwinu
269,Heaney-Powlowski,Benedite,5,4977,1361,302,Gabtype
799,"Kuhic, Hintz and Cole",Moodie,2,4780,1269,184,Jabbersphere
344,Howe Inc,Mainston,16,2777,3851,824,Meevee
300,"O'Hara, Ferry and Koepp",Scutt,11,2770,3770,148,Jazzy
831,"McClure, Trantow and Runolfsdottir",O'Towey,1,736,1256,506,Feedfish
120,Heidenreich-Osinski,Shrieve,3,2373,3602,634,Voomm
268,Brekke Inc,Boribal,14,405,2525,694,Thoughtstorm
867,Roob-Rohan,Kaas,9,3800,3876,718,Edgeify
501,Rogahn LLC,Meekings,3,3675,3004,766,Demizz
365,"Wilkinson, Little and Veum",Edmeades,4,3920,2930,881,Dynabox
216,Thiel Inc,Oakwell,14,3651,3045,898,Blogtags
258,Thompson Group,Kenningham,17,4280,881,770,Feedfish
640,Thiel-Willms,Van de Castele,10,3919,3615,945,Skipfire
340,Macejkovic-Huel,Dymocke,20,3715,2313,429,Skimia
818,"Ratke, Haag and Lowe",Dinsdale,0,1483,1858,159,Avamm
635,Swift Group,Harriman,13,2855,2928,478,Kanoodle
403,"Flatley, Stehr and Graham",Sim,0,1683,2506,779,Brainlounge
705,Spencer-Mante,Stovin,12,1731,2344,240,Topicware
839,"Berge, Konopelski and Hegmann",McKernon,3,1394,627,591,Browsebug
422,Reynolds Inc,Bockmann,1,2840,2746,361,Skippad
501,"Mosciski, Swaniawski and O'Connell",Attew,3,804,1409,723,Fliptune
810,"Bruen, Mertz and Kirlin",Mcsarry,7,4227,1060,550,Rhyloo
626,Herzog and Sons,Blaw,15,2454,2602,171,Youtags
854,Langosh-Langosh,Linder,13,2273,2630,574,Rhynoodle
569,"Bednar, Koss and Bogan",Yushankin,1,1178,708,199,Jabberstorm
732,Wehner-Hilll,Hogsden,24,902,4197,567,Lazz
992,Harris Inc,Benedito,5,3757,1807,826,Divavu
228,Zemlak Group,Batsford,0,1919,3746,428,Feedfish
444,Dare LLC,Hebborn,5,1891,938,901,Eazzy
498,Wyman Group,Patriche,11,3639,2579,408,Kanoodle
987,"Bartoletti, McDermott and Kuhn",Stolting,21,4041,2121,327,Flipstorm
992,Wyman Group,Ortiger,14,3341,883,208,Teklist
670,Kuvalis-Torp,Carter,8,3617,907,159,Zoomzone
304,Harris-McClure,MacColl,19,1875,4965,736,Riffwire
797,"Ritchie, Nienow and Stanton",Nelsey,11,2590,3539,710,Miboo
932,Dach-Emard,Patient,18,451,396,918,Meetz
802,Olson-Rice,Mounter,5,3355,2510,589,Oyonder
387,"Klocko, Torp and Larson",Le Moucheux,18,3188,1489,276,Jabberbean
380,Feeney-Wuckert,McNelis,12,598,3005,350,Eamia
512,Hansen-Greenholt,Railton,14,4247,4656,632,Jaxworks
867,Gutkowski Inc,Ciobotaru,9,1104,4645,395,Lazz
512,Crona LLC,Van der Veldt,13,4588,1899,232,Avaveo
690,Nitzsche Group,Gladbeck,4,270,4502,314,Shuffletag
357,"Pfeffer, Jakubowski and Brakus",Pavlik,4,2700,1160,900,Brightdog
660,Bashirian-Gusikowski,Girsch,18,2092,2457,635,Zoomcast
871,Walter Group,MacCard,14,2720,3490,710,Digitube
