Employee_id,Start_date,END_date ,Job_id ,Department_id
537,2/14/2004,12/17/2010,9,397
593,10/20/2001,1/13/2009,53,345
555,1/12/2016,5/29/2016,65,312
600,8/15/2009,2/5/2005,88,400
551,10/15/2015,3/13/2014,74,384
523,1/25/2002,1/30/2010,60,355
524,3/30/2013,12/19/2013,17,321
523,4/14/2015,6/9/2009,55,387
533,8/1/2000,8/2/2009,26,394
527,5/26/2003,2/18/2016,87,355
536,1/31/2010,3/9/2013,31,315
504,2/22/2005,7/7/2010,78,354
502,6/20/2001,9/26/2005,43,371
573,8/4/2009,11/8/2013,81,378
559,10/11/2014,9/12/2012,76,386
507,5/28/2011,12/10/2012,98,339
538,6/21/2015,9/2/2005,47,392
599,3/16/2012,7/19/2005,22,350
572,7/28/2006,2/19/2006,63,305
527,6/26/2002,8/12/2013,14,394
547,12/11/2002,6/13/2007,52,365
600,1/16/2003,2/18/2015,98,333
575,4/15/2005,7/14/2005,30,318
545,1/8/2009,1/12/2005,28,391
540,4/30/2015,5/9/2013,54,348
529,9/15/2014,12/9/2014,68,378
588,2/12/2002,8/20/2006,62,377
587,2/3/2005,9/23/2013,7,303
593,9/10/2009,9/3/2008,74,356
509,7/3/2016,4/28/2013,79,361
505,11/27/2004,11/6/2017,90,367
502,12/21/2008,3/5/2014,1,393
545,8/9/2013,11/21/2008,10,371
517,1/12/2002,4/22/2012,99,350
529,6/20/2012,6/29/2012,91,382
542,10/2/2016,11/22/2015,40,364
564,11/28/2014,4/21/2008,35,348
592,6/10/2002,10/15/2008,22,383
505,10/14/2013,10/13/2006,11,303
554,6/7/2014,11/3/2007,5,323
543,7/30/2011,7/10/2016,64,361
510,5/30/2001,8/13/2007,72,322
560,7/21/2004,10/14/2017,92,376
528,12/13/2016,8/15/2009,94,374
592,3/19/2006,10/16/2017,15,382
509,7/27/2014,6/17/2006,15,330
512,12/22/2001,3/14/2006,82,324
516,3/24/2010,9/18/2007,23,399
539,7/20/2017,5/3/2013,45,362
583,8/8/2005,3/12/2012,93,302
534,7/16/2005,7/17/2010,3,366
584,7/18/2008,1/21/2009,93,373
528,8/1/2003,11/11/2014,31,319
504,9/13/2016,4/29/2010,21,362
564,12/1/2000,7/2/2016,55,306
579,6/4/2006,6/1/2005,60,304
562,11/25/2014,8/7/2008,44,369
504,6/15/2016,10/8/2014,78,306
546,10/11/2013,11/1/2015,61,392
534,7/11/2002,9/5/2008,75,395
537,3/10/2014,11/14/2007,45,339
546,9/15/2011,4/24/2014,81,345
589,5/29/2013,11/21/2016,10,353
575,7/11/2006,4/23/2006,51,400
524,6/9/2004,2/10/2009,13,355
599,9/26/2008,2/19/2014,24,375
554,7/19/2013,2/11/2014,70,358
557,9/7/2011,6/17/2015,96,371
523,5/6/2004,2/12/2005,41,335
528,1/24/2006,11/8/2013,30,329
546,8/13/2010,7/9/2006,65,388
566,4/8/2013,5/12/2005,20,332
501,10/16/2009,4/26/2009,61,342
509,8/31/2004,10/28/2016,4,380
576,7/7/2011,12/1/2016,24,318
569,12/29/2013,12/6/2015,34,346
566,7/22/2013,6/22/2014,40,388
523,1/30/2010,8/26/2010,78,364
583,9/28/2007,3/26/2012,93,340
546,2/6/2003,9/9/2008,33,338
504,4/17/2008,11/10/2008,42,319
541,5/10/2017,1/31/2011,69,346
574,10/1/2009,1/13/2011,49,368
561,11/9/2009,9/11/2013,47,397
570,9/8/2008,12/21/2016,90,354
587,12/29/2005,7/16/2017,79,347
528,12/27/2000,10/3/2012,60,389
551,6/17/2013,7/13/2016,51,386
529,8/18/2010,1/3/2011,33,350
597,5/17/2004,2/3/2015,64,324
521,8/28/2004,6/16/2009,47,341
560,3/12/2001,10/14/2017,74,301
580,5/12/2009,8/15/2008,8,342
541,10/12/2007,6/24/2015,6,314
565,3/12/2000,4/22/2016,45,390
597,9/12/2003,2/21/2007,96,357
516,4/12/2006,8/8/2017,96,332
522,11/18/2007,2/19/2006,20,319
545,3/8/2003,2/23/2011,66,350
585,3/28/2007,2/13/2005,76,308
