Employee_id,Start_date,End_date ,Job_id ,Department_id
524,12/20/2007,12/31/2010,16,329
523,2/21/2001,5/23/2013,46,387
553,12/15/2012,3/11/2009,36,380
547,12/5/2013,2/11/2017,98,316
542,6/20/2008,2/28/2005,55,400
555,2/5/2009,9/30/2017,100,302
549,6/29/2000,1/24/2009,9,347
586,6/3/2000,4/2/2015,3,309
593,3/31/2010,12/23/2014,67,347
523,6/17/2005,2/28/2010,31,391
525,4/5/2010,10/30/2010,10,388
576,4/13/2011,7/12/2012,14,372
551,4/9/2015,8/9/2016,10,373
506,5/3/2017,3/6/2008,22,303
590,1/2/2008,8/10/2009,42,374
569,4/28/2013,5/20/2013,99,396
596,5/24/2004,11/21/2017,31,339
529,1/11/2001,2/20/2011,84,384
558,1/10/2009,8/15/2012,59,317
514,7/11/2017,12/30/2005,17,317
518,5/22/2011,12/29/2017,74,320
517,6/6/2000,9/23/2010,38,368
571,2/1/2011,2/1/2014,86,321
593,8/14/2008,6/20/2012,73,371
568,11/16/2007,8/18/2011,41,347
530,1/5/2006,6/1/2008,100,370
595,6/17/2001,4/29/2012,62,326
579,3/24/2011,7/18/2007,48,304
521,6/26/2001,5/15/2010,5,322
537,1/1/2010,9/27/2017,48,345
521,5/13/2011,9/17/2016,78,385
521,3/30/2013,11/8/2014,19,301
594,10/13/2013,1/13/2016,77,308
556,5/30/2012,7/17/2014,84,351
527,7/18/2013,7/3/2006,32,327
562,8/19/2005,12/22/2016,13,312
597,4/25/2002,6/6/2010,53,372
531,12/14/2010,2/2/2009,59,306
530,12/10/2004,7/23/2008,63,396
524,8/5/2015,5/9/2007,98,328
572,6/4/2012,4/20/2009,81,364
572,10/18/2013,3/3/2008,92,362
596,11/20/2012,11/7/2006,27,397
533,1/9/2004,4/24/2010,58,340
521,7/25/2009,2/6/2011,17,339
599,2/5/2014,2/10/2007,31,365
550,10/30/2017,9/29/2013,63,322
555,12/5/2009,7/6/2017,34,328
541,11/3/2009,7/18/2013,58,392
505,11/5/2001,4/19/2013,71,335
563,2/10/2015,3/12/2010,62,347
578,7/27/2004,3/5/2016,91,312
514,10/18/2005,6/6/2014,88,385
536,7/5/2008,11/30/2012,64,310
520,5/30/2012,5/16/2008,15,338
524,11/4/2012,1/10/2016,85,389
597,9/24/2012,11/12/2009,33,344
515,8/8/2010,4/2/2007,30,387
521,3/8/2014,5/3/2005,25,302
538,7/7/2007,5/12/2012,46,381
551,5/7/2010,3/3/2014,89,314
576,7/31/2017,6/21/2011,78,334
505,3/17/2007,2/1/2013,78,371
529,2/4/2006,10/29/2006,59,377
600,12/11/2012,3/3/2006,79,307
532,2/26/2017,10/9/2009,16,355
576,12/2/2011,8/23/2006,72,319
591,9/22/2000,7/25/2008,26,317
553,3/21/2002,3/22/2009,94,302
584,12/24/2012,1/28/2012,70,329
530,2/2/2014,4/1/2013,82,343
595,10/23/2001,5/2/2008,29,321
535,6/24/2008,12/20/2007,13,376
585,4/28/2009,9/19/2017,94,308
543,11/8/2003,6/24/2005,40,377
567,12/6/2001,12/4/2013,98,379
537,3/8/2014,12/23/2012,53,319
569,4/4/2009,5/17/2008,74,384
586,3/9/2010,9/2/2017,73,321
563,9/28/2006,2/18/2010,85,339
590,3/23/2013,11/26/2015,90,310
589,3/15/2008,11/16/2008,33,335
540,12/4/2006,5/7/2015,86,321
554,6/25/2012,9/10/2012,6,337
592,8/19/2008,8/18/2014,30,329
590,2/24/2010,9/16/2016,57,393
572,1/22/2002,10/21/2007,2,302
534,7/11/2011,10/25/2005,47,366
558,3/21/2015,9/20/2009,4,309
596,11/11/2009,5/23/2016,72,349
507,11/14/2008,9/12/2012,28,370
574,12/7/2006,1/6/2008,86,310
570,4/11/2011,3/14/2017,99,366
559,11/13/2015,8/29/2006,85,365
549,2/1/2006,8/14/2005,30,353
512,8/16/2016,6/5/2005,79,352
541,5/8/2003,4/5/2013,53,317
594,6/30/2008,11/9/2008,98,386
515,9/24/2012,12/5/2009,36,389
509,1/9/2015,2/24/2011,42,380
