Program_id,Emp_id,TRP,Program_name,Starting_time,Ending_time,Starting_Date,Ending_Date,Program_type,Sponsor,Number_of_Episodes
243,12,355.116,Treeflex,4:30 PM,2:03 PM,12/3/2003,29/07/2001,Talk Show,GasLog Partners LP,65
637,127,367.874,Y-find,5:46 AM,10:45 PM,9/8/2001,22/10/2010,Drama,Entertainment Gaming Asia Incorporated,23
750,202,9.782,Span,9:46 AM,7:27 AM,18/10/2013,6/5/2012,Film,Tortoise Energy Infrastructure Corporation,0
330,37,121.381,Pannier,9:05 AM,2:25 AM,26/09/2005,29/03/2011,Religious Program,Liberty Interactive Corporation,73
409,200,393.384,Span,4:20 PM,4:00 PM,26/05/2010,25/12/2013,Sport,"Merrill Lynch & Co., Inc.",0
356,218,266.907,Tampflex,3:22 PM,4:22 AM,25/03/2016,16/11/2003,Serial,"Builders FirstSource, Inc.",89
224,97,237.36,Mat Lam Tam,2:03 PM,6:27 PM,23/05/2004,23/02/2001,Drama,Avenue Income Credit Strategies Fund,61
249,94,129.994,Flowdesk,2:10 PM,7:59 AM,19/07/2011,1/1/2010,News,SpartanNash Company,16
95,111,415.806,Voltsillam,1:27 PM,3:22 PM,6/11/2007,21/12/2015,Drama,"Goldman Sachs BDC, Inc.",36
944,239,356.592,Biodex,11:30 AM,1:45 PM,20/12/2006,23/05/2016,News,National Storage Affiliates Trust,53
203,227,454.908,Toughjoyfax,11:46 PM,5:24 AM,28/05/2004,4/10/2013,Talk Show,"BeiGene, Ltd.",30
788,11,341.568,Bigtax,8:37 PM,4:38 PM,2/10/2000,5/4/2011,Film,"Peoples Bancorp of North Carolina, Inc.",0
87,32,26.935,Prodder,8:45 PM,7:21 PM,30/11/2008,1/1/2016,Drama,"Equinix, Inc.",14
22,196,346.49,Rank,12:31 AM,7:19 PM,12/2/2016,2/12/2002,Serial,"Conifer Holdings, Inc.",60
160,117,94.157,Trippledex,11:04 PM,10:10 AM,1/10/2004,17/12/2011,Telefilm,X-Links Gold Shares Covered Call ETN,0
546,9,65.492,Zathin,4:03 PM,10:13 PM,13/10/2006,19/12/2007,Film,"ASB Bancorp, Inc.",0
675,105,454.754,Home Ing,9:28 PM,11:05 AM,23/05/2001,4/2/2000,Sport,"The Ensign Group, Inc.",0
667,227,203.617,Wrapsafe,9:05 AM,11:20 AM,3/2/2012,2/4/2005,Audience Show,"Gulf Island Fabrication, Inc.",99
835,249,138.392,Konklux,8:38 AM,6:03 PM,9/11/2005,29/06/2010,Drama,GlaxoSmithKline PLC,27
279,243,192.335,Alpha,10:05 AM,10:38 PM,4/1/2014,22/12/2014,Religious Program,VivoPower International PLC,49
848,13,405.834,Job,10:48 PM,12:51 PM,25/09/2001,11/6/2007,Aaaahhhhhhhhhhhhhhh!,"Alliance One International, Inc.",7
811,32,456.741,Treeflex,9:48 PM,11:51 AM,19/08/2015,31/01/2000,Aaaahhhhhhhhhhh!,"Gabelli Equity Trust, Inc. (The)",87
216,246,311.056,Alphazap,7:10 PM,6:38 PM,29/03/2006,2/9/2007,Aaaahhhhh!,State Bank Financial Corporation.,35
645,203,386.625,Bigtax,2:20 AM,10:11 AM,15/05/2015,4/9/2008,Aaaahhhhhhhhhhhhhhh!,PIMCO California Municipal Income Fund III,92
510,244,124.888,Zoolab,6:41 AM,12:18 PM,14/03/2004,21/07/2009,Aaaahhhhhhhh!,"Miragen Therapeutics, Inc.",37
634,53,85.251,Pannier,12:04 AM,11:59 AM,13/05/2010,9/9/2004,Aaaahhhhhhhh!,Aegon NV,56
471,159,86.174,Kanlam,7:49 AM,6:19 PM,29/09/2014,24/06/2005,Aaaahhhhhhhh!,Microbot Medical Inc. ,89
871,170,428.862,Prodder,10:29 PM,12:44 AM,8/12/2006,11/6/2007,Aaaahhhhh!,Kennametal Inc.,50
740,140,380.467,Holdlamis,7:01 AM,8:12 PM,17/03/2006,24/06/2012,Aaaahhhhhhhhh!,Liberty Global plc,80
522,201,61.394,Voltsillam,12:03 AM,4:53 AM,11/11/2010,25/12/2010,Aaaahhhhhh!,"Royce Value Trust, Inc.",24
269,160,161.159,Daltfresh,10:54 AM,11:55 AM,30/08/2015,22/09/2006,Aaaahhhhh!,PowerShares Global Water Portfolio,76
426,144,301.978,Stronghold,11:02 PM,5:51 AM,14/09/2013,13/11/2004,Aaaahhhhhhhhh!,PowerShares Water Resources Portfolio,74
718,11,249.983,Keylex,4:31 AM,4:01 PM,22/01/2013,19/01/2004,Aaaahhhhhh!,GP Investments Acquisition Corp.,98
97,48,105.895,Sonsing,6:50 PM,5:14 AM,11/10/2015,12/12/2011,Aaaahhhhhhhhhhhh!,Generac Holdlings Inc.,47
9,117,452.935,Tempsoft,10:13 AM,2:48 PM,15/05/2011,28/12/2002,Aaaahhhhhhhhhhhhhh!,NXT-ID Inc.,37
693,157,169.265,Solarbreeze,5:14 AM,5:38 AM,25/08/2002,9/3/2011,Aaaahhhhhhhhhhhh!,First Trust Intermediate Duration Preferred & Income Fund,43
805,235,451.518,Aerified,6:56 AM,11:07 AM,17/01/2004,28/04/2007,Aaaahhhhhhhhhhhh!,"Onvia, Inc.",27
655,89,77.438,Cardify,11:32 PM,12:40 PM,20/07/2009,31/01/2011,Aaaahhh!,Saban Capital Acquisition Corp.,64
410,164,80.387,Fixflex,10:12 AM,6:13 PM,9/2/2016,15/12/2002,Aaaahhhhhhhhhhh!,Nustar Energy L.P.,28
206,129,151.432,Sonair,6:52 PM,10:20 AM,6/4/2002,19/07/2004,Aaaahhhhhhhhhhhhhh!,Advent Claymore Convertible Securities and Income Fund,97
468,102,460.98,Fix San,12:47 PM,3:32 AM,15/02/2005,6/2/2001,Aaaahhhhhhhhhhhhh!,PowerShares S&P SmallCap Utilities Portfolio,62
567,49,283.56,Biodex,10:58 AM,12:31 AM,27/10/2013,6/5/2009,Aaaahhhhhhhhhhhhh!,Janus Henderson Small/Mid Cap Growth Alpha ETF,28
380,148,465.486,Ventosanzap,7:52 PM,10:30 PM,26/12/2016,26/12/2014,Aaaahhhhhhhhhhhhhhh!,Prudential Public Limited Company,43
593,117,96.42,Latlux,11:10 AM,4:30 AM,15/12/2014,11/10/2003,Aaaahhhhh!,Minerals Technologies Inc.,14
473,176,428.633,Bitchip,2:57 PM,5:39 AM,22/06/2003,24/05/2012,Aaaahhhhhhhh!,First Trust South Korea AlphaDEX Fund,68
626,227,225.288,Lotlux,8:07 PM,5:30 PM,7/7/2008,27/05/2008,Aaaahhhhhhhhhh!,"Washington Trust Bancorp, Inc.",85
815,31,56.311,Voltsillam,3:07 AM,2:07 AM,9/8/2014,10/11/2014,Aaaahhhh!,Universal Electronics Inc.,1
30,163,386.786,Keylex,6:28 PM,2:55 PM,2/9/2006,2/10/2009,Aaaahhhhh!,Wix.com Ltd.,31
266,6,331.739,Lotstring,5:34 PM,3:39 PM,21/10/2004,17/09/2006,Aaaahhhhhhhhhhhh!,Graco Inc.,61
348,193,408.266,Hatity,4:18 AM,6:27 AM,5/8/2006,22/07/2010,Aaaahhhh!,"Cullen/Frost Bankers, Inc.",63
543,184,431.218,Viva,5:51 PM,7:26 AM,30/07/2010,7/2/2016,Aaaahhhhhhhhhhhh!,"Genocea Biosciences, Inc.",99
147,18,263.273,Gembucket,8:15 AM,2:23 AM,13/10/2012,31/01/2008,Aaaahhhhh!,"Argo Group International Holdings, Ltd.",37
263,236,423.422,Sonair,9:06 AM,11:16 AM,18/09/2011,1/8/2010,Aaaahhhhhhhhhh!,Alliance California Municipal Income Fund Inc,2
697,157,254.066,Treeflex,3:14 AM,1:47 AM,20/12/2003,19/11/2010,Aaaahhhhhh!,Madison Covered Call & Equity Strategy Fund,67
925,38,433.407,Sonair,9:58 AM,8:30 AM,28/02/2012,6/9/2006,Aaaahhhhhhh!,"AMAG Pharmaceuticals, Inc.",92
781,245,293.07,Tempsoft,6:17 AM,8:38 PM,10/12/2014,20/11/2002,Aaaahhhhhhhhhhhhh!,Kentucky First Federal Bancorp,94
601,4,309.468,Aerified,1:27 AM,2:05 AM,6/8/2004,29/12/2007,Aaaahhhhhhhhhhhhh!,Synovus Financial Corp.,87
663,208,478.407,Zoolab,4:14 AM,9:12 AM,8/11/2003,18/12/2008,Aaaahhh!,Sempra Energy,65
908,143,45.117,Cardify,2:45 AM,2:26 AM,27/06/2013,20/12/2014,Aaaahhhhhhhh!,Golden Ocean Group Limited,27
480,119,305.003,Alpha,5:50 AM,10:50 AM,9/10/2016,7/7/2008,Aaaahhhh!,Performant Financial Corporation,8
